提供元素信息;哪种元素(text/resourceid/classname);动作信息(scroll、click、edit);断言信息判断;停留时间(毫秒);用例名称
com.itsenpupulai.courierport:id/et_phone;resourceid;click;null;1000;点击手机号编辑框
com.itsenpupulai.courierport:id/et_phone;resourceid;edit;null;1000;输入手机号;18638732236
backpress;true;backpress;null;1000;返回按钮
com.itsenpupulai.courierport:id/et_pwd;resourceid;click;null;1000;点击密码编辑框
com.itsenpupulai.courierport:id/et_pwd;resourceid;edit;null;1000;输入手机号;111111
backpress;true;backpress;null;1000;返回按钮
com.itsenpupulai.courierport:id/btn_login;resourceid;click;null;1000;登录配送端
com.itsenpupulai.courierport:id/iv_tianjianghongbao_cha;resourceid;click;null;1000;关闭广告
com.itsenpupulai.courierport:id/dialog_iv_main_guider;resourceid;click;全部订单;1000;关闭学习页
com.itsenpupulai.courierport:id/top_persenal_center;resourceid;click;设置;1000;打开侧滑栏
com.itsenpupulai.courierport:id/setting;resourceid;click;退出登录;1000;进入设置页面
com.itsenpupulai.courierport:id/accept_iv;resourceid;click;null;1000;关闭接单按钮
com.itsenpupulai.courierport:id/accept_iv;resourceid;click;null;1000;开启接单按钮
com.itsenpupulai.courierport:id/setting_iv_music_switch;resourceid;click;null;1000;关闭语音提示
com.itsenpupulai.courierport:id/setting_iv_music_switch;resourceid;click;null;1000;开启语音提示
com.itsenpupulai.courierport:id/setting_iv_listen_order_switch;resourceid;click;null;1000;开启订单推送
com.itsenpupulai.courierport:id/setting_iv_listen_order_switch;resourceid;click;null;1000;关闭订单推送
com.itsenpupulai.courierport:id/rl_boda_phone;resourceid;click;null;1000;点击拨打客服电话
com.itsenpupulai.courierport:id/tv_no;resourceid;click;null;1000;取消拨打电话
com.itsenpupulai.courierport:id/top_fork;resourceid;click;null;1000;退出设置页面
com.itsenpupulai.courierport:id/top_persenal_center;resourceid;click;设置;1000;打开侧滑栏
com.itsenpupulai.courierport:id/explain;resourceid;click;蚂蚁课堂;1000;进入蚂蚁课堂
com.itsenpupulai.courierport:id/top_fork;resourceid;click;null;1000;退出蚂蚁课堂页面
